shapeID,name,area_km2,n_pixels,sol,rad_km2,sol_per_km2,mean_rad,median_rad,p90_rad,max_rad,lit_area_km2,lit_share,core_area_km2,core_share,pop,pop_inhabited,pop_lit,pop_dark,pop_lit_share,pop_density,sol_per_capita,gini_pixels,gini_pop_light,cv_rad,sol_share_nat,pop_share_nat,light_pop_ratio,parent
11933810B81248278761241,بن عروس,6.765,34,1371.86,272.959,202.789,40.349,40.6483,50.7038,53.0213,6.765,1,6.765,1,49949.6,49949.6,49949.6,0,1,7383.54,0.027465,0.123246,0.1146,0.217132,0.00294575,0.00429037,0.686596,Ben Arous
11933810B81805450499121,سبيبة,445.361,2203,1305.61,263.883,2.93157,0.592649,0.320799,0.877451,52.4091,280.357,0.629504,2.62675,0.00589802,40092,40092,34112.6,5979.4,0.850858,90.0214,0.0325652,0.547426,0.763211,3.83324,0.00280347,0.00344366,0.814097,Kasserine
11933810B37574036497971,المكناسي,621.991,3044,915.686,187.135,1.47219,0.300817,0.152521,0.268893,25.3834,71.5416,0.11502,3.06592,0.0049292,25875.3,25875.3,12486.1,13389.2,0.482548,41.6008,0.0353884,0.530842,0.74595,4.10994,0.00196621,0.00222253,0.884673,Sidi Bouzid
11933810B72846800304376,غار الدماء,504.684,2528,1414.47,282.488,2.80269,0.559522,0.188801,0.590687,43.3289,161.549,0.320099,5.19391,0.0102914,60439.9,60438.5,44366.1,16072.5,0.734069,119.758,0.0234029,0.670135,0.702469,4.5425,0.00303723,0.00519141,0.58505,Jendouba
11933810B91924190982808,سبالة أوالد عسكر,293.117,1445,609.167,123.607,2.07824,0.421569,0.264984,0.528474,23.3836,163.764,0.558699,1.21784,0.0041548,20706.1,20706.1,16331.9,4374.21,0.788748,70.6411,0.0294197,0.455361,0.748791,2.77592,0.00130804,0.00177853,0.735462,Sidi Bouzid
11933810B4781158018226,بورويس,273.984,1367,449.835,90.157,1.64183,0.329068,0.196278,0.387941,20.0345,75.9491,0.277202,0.801803,0.00292645,11227.8,11227.8,6024.09,5203.75,0.536531,40.9799,0.0400643,0.448618,0.766352,3.003,0.000965913,0.000964403,1.00157,Siliana
11933810B50994391352057,قفصة الشمالية,532.186,2603,543.197,111.083,1.02069,0.208681,0.162828,0.321023,7.54886,83.682,0.157242,0,0,9657.34,9657.34,3026.53,6630.81,0.313392,18.1466,0.0562471,0.279512,0.546268,1.08693,0.00116638,0.000829506,1.40612,Gafsa
11933810B36279508615628,مدنين الشمالية,332.235,1602,1354.84,281.003,4.07794,0.845716,0.202313,1.24682,56.8707,118.21,0.355801,4.97826,0.0149841,50752.3,50752.3,44279.9,6472.38,0.872471,152.76,0.0266951,0.728365,0.600837,3.42591,0.00290919,0.00435931,0.66735,Médenine
11933810B83603965964672,الوسلاتية,910.448,4525,1181.81,237.851,1.29805,0.261174,0.158557,0.252717,24.1077,95.1995,0.104563,2.01327,0.00221129,34384.3,34384.3,11307.5,23076.8,0.328857,37.7663,0.0343707,0.457336,0.811881,3.60311,0.00253765,0.0029534,0.859231,Kairouan
11933810B8202711908587,بني حسان,85.892,425,610.814,123.433,7.11141,1.43721,0.614498,3.10493,17.8938,85.892,1,1.61613,0.0188158,14491.5,14491.5,14491.5,0,1,168.717,0.0421499,0.569386,0.557074,1.57098,0.00131158,0.00124473,1.0537,Monastir
11933810B14631424416912,القصرين الجنوبية,860.363,4235,1576.96,320.266,1.8329,0.372363,0.207595,0.558372,17.7082,310.957,0.361426,2.43587,0.00283121,27569.7,27569.7,19741,7828.77,0.716037,32.0443,0.0571988,0.485088,0.681852,2.40054,0.00338613,0.00236807,1.42991,Kasserine
11933810B87757841010951,فوسانة,911.416,4499,1501.27,304.115,1.64719,0.33369,0.192525,0.46613,36.1187,282.194,0.309621,2.43051,0.00266674,39943.3,39939.7,23544.7,16395,0.589505,43.8256,0.037585,0.473172,0.79123,3.58933,0.00322362,0.00343089,0.939587,Kasserine
11933810B6690726234201,منزل بورقيبة,127.738,645,1321.34,261.558,10.3442,2.04859,0.346524,4.91368,37.3592,107.329,0.840235,8.70894,0.0681784,56987,56987,56106.8,880.239,0.984554,446.126,0.0231867,0.776989,0.461603,2.62326,0.00283726,0.00489484,0.579643,Bizerte
11933810B33888578945237,قصور الساف,220.519,1089,1428.04,289.122,6.47582,1.31133,0.468034,2.49575,31.9834,209.983,0.952223,5.06027,0.0229472,56637,56637,55969.5,667.593,0.988213,256.836,0.0252139,0.630409,0.619732,2.15282,0.00306637,0.00486478,0.630321,Mahdia
11933810B16609511598620,قربة,206.684,1037,3031.47,604.583,14.6671,2.9233,0.590419,5.19525,212.508,203.896,0.98651,12.1671,0.0588679,73579,73579,73440.7,138.294,0.99812,355.997,0.0412002,0.764337,0.652342,3.81973,0.00650934,0.00631998,1.02996,Nabeul
11933810B43224810674441,عمدون,241.219,1213,359.668,71.5406,1.49104,0.296511,0.143875,0.293621,12.5757,34.2185,0.141857,0.596772,0.00247399,21483,21482.8,10117.1,11365.7,0.470938,89.0603,0.016742,0.563647,0.72337,3.15276,0.0007723,0.00184526,0.418532,Béja
11933810B58495148677727,المهدية,164.988,816,3291.29,665.374,19.9487,4.03345,0.748281,12.0191,54.7552,164.786,0.998774,17.9922,0.109052,77981,77981,77963.6,17.4193,0.999777,472.646,0.0422064,0.756723,0.584804,2.26754,0.00706726,0.00669809,1.05512,Mahdia
11933810B21305509879120,الزهور,3.24835,16,645.677,131.086,198.771,40.3548,42.5151,60.8471,64.1317,3.24835,1,3.04532,0.937499,17687.5,17687.5,17687.5,0,1,5445.09,0.0365046,0.241967,0.178377,0.423666,0.00138644,0.00151925,0.912578,Kasserine
11933810B9843874857613,العلاء,359.205,1780,446.091,90.0284,1.24188,0.250613,0.175665,0.318777,11.2233,69.6238,0.193827,0.605646,0.00168607,25616.5,25616.5,12340.6,13275.9,0.481743,71.3145,0.0174142,0.35564,0.740011,2.24325,0.000957873,0.0022003,0.435337,Kairouan
11933810B85460766663298,جرجيس,881.681,4255,4253.88,880.92,4.82474,0.999737,0.161791,1.0115,337.531,242.228,0.274734,12.2166,0.013856,74187.5,74174.2,60336.9,13837.3,0.813448,84.1432,0.0573396,0.815553,0.720162,8.91593,0.00913418,0.00637225,1.43343,Médenine
11933810B63769477321457,Jendouba Nord,297.068,1489,1224.9,244.437,4.12329,0.822632,0.24179,0.881973,38.5238,143.259,0.482244,5.38926,0.0181415,51447.4,51447.4,42005.6,9441.86,0.816476,173.184,0.0238087,0.714792,0.640618,3.62175,0.00263017,0.00441902,0.595194,Jendouba
11933810B76554962247664,دقاش,1412.05,6861,1590.52,327.387,1.1264,0.231821,0.145934,0.219333,25.6122,108.291,0.0766911,1.85318,0.00131241,31341.9,29605.9,19125.5,10480.4,0.646003,22.1961,0.0507475,0.409776,0.706471,3.23037,0.00341527,0.00269208,1.26863,Tozeur
11933810B30823561868472,طبربة,285.124,1435,1181.68,234.819,4.14444,0.82347,0.260227,1.03659,30.7387,151.385,0.530945,4.77009,0.0167299,58234.6,58234.6,49037.7,9196.88,0.842072,204.243,0.0202917,0.690048,0.691628,3.23915,0.00253737,0.00500199,0.507272,Manouba
11933810B61776975949609,صفاقس المدينة,28.3649,139,4342.44,886.093,153.092,31.2406,27.8161,56.5154,126.815,28.3649,1,22.4454,0.791308,107320,107320,107320,0,1,3783.54,0.0404625,0.394268,0.271645,0.746799,0.00932434,0.00921813,1.01152,Sfax
11933810B38819723902176,قبلاط,412.257,2066,622.475,124.191,1.50992,0.301295,0.200644,0.337369,24.9168,99.5293,0.241426,1.39659,0.00338767,13883.3,13883.3,7285.86,6597.4,0.524794,33.6763,0.0448363,0.407086,0.780945,3.24169,0.00133661,0.00119249,1.12086,Béja
11933810B33504132443060,نابل,74.6778,374,3660.83,731.232,49.0217,9.78832,0.86035,36.045,77.2239,74.6778,1,19.1757,0.256779,89326.1,89326.1,89326.1,0,1,1196.15,0.0409828,0.749638,0.403356,1.74356,0.00786075,0.00767257,1.02453,Nabeul
11933810B24040773299461,منيهلة,23.0462,116,2008.41,399.047,87.1468,17.3138,13.9747,35.1344,59.4478,23.0462,1,13.9079,0.603478,153409,153409,153409,0,1,6656.57,0.0130918,0.44027,0.286846,0.813218,0.00431257,0.0131769,0.327283,Ariana
