shapeID,name,sol,pop,area_km2,parent,sol_0,growth,abs_change,z_robust,flag
11933810B14836095916482,القيروان الشمالية,5854.37,123819,250.546,Kairouan,3783.08,0.0497127,2071.29,0.466974,within normal range · dans la plage normale
11933810B63421014427866,الكاف الغربية,1591.68,34493.6,212.956,El Kef,973.513,0.0561453,618.163,0.710099,within normal range · dans la plage normale
11933810B49902378284824,نبر,1246.55,24314.1,716.054,El Kef,1096.63,0.014339,149.916,-0.870009,within normal range · dans la plage normale
11933810B14406608577982,ملولش,832.552,23403.6,159.348,Mahdia,458.512,0.0685245,374.04,1.17798,within normal range · dans la plage normale
11933810B90184807818123,منزل بوزيان,837.193,25400.2,551.846,Sidi Bouzid,728.347,0.0155955,108.846,-0.822517,within normal range · dans la plage normale
11933810B99005067592963,جمال,4052.21,74170.1,156.249,Monastir,2235.89,0.0683009,1816.33,1.16953,within normal range · dans la plage normale
11933810B7896937975348,بني خداش,942.305,23918.6,1353.74,Médenine,1188.54,-0.025465,-246.238,-2.37444,within normal range · dans la plage normale
11933810B80105937964230,تبرسق,1058.34,20994.7,393.69,Béja,718.444,0.0439808,339.897,0.250332,within normal range · dans la plage normale
11933810B23550451682072,المكنين,4210.14,94408.1,195.826,Monastir,2729.85,0.0493164,1480.29,0.451994,within normal range · dans la plage normale
11933810B26778140305408,المنستير,5939.17,112495,61.873,Monastir,4715.8,0.025959,1223.36,-0.430822,within normal range · dans la plage normale
11933810B93469460723803,والد شامخ,757.215,23980.9,323.438,Mahdia,657.375,0.0158343,99.8395,-0.813494,within normal range · dans la plage normale
11933810B66279865706920,قفصة الجنوبية,3948.84,93636.8,746.814,Gafsa,3345.25,0.0186022,603.593,-0.708879,within normal range · dans la plage normale
11933810B57085806890021,سيدي علوان,1386.14,37292.4,287.005,Mahdia,751.439,0.0703997,634.702,1.24886,within normal range · dans la plage normale
11933810B48053950180724,الرقاب,3106.71,68285.8,1032.61,Sidi Bouzid,2125.98,0.0430488,980.731,0.215103,within normal range · dans la plage normale
11933810B22312000664115,نفزة,938.832,45393.5,597.459,Béja,624.069,0.0464203,314.763,0.342535,within normal range · dans la plage normale
11933810B84544107883303,سيدي علي بن عون,1426.13,30180.3,610.939,Sidi Bouzid,803.052,0.065891,623.077,1.07845,within normal range · dans la plage normale
11933810B88650874660140,سجنان,570.183,39310.2,618.207,Bizerte,529.192,0.00832395,40.9907,-1.09735,within normal range · dans la plage normale
11933810B70866189338214,رادس,4552.05,62317.9,19.692,Ben Arous,3122.85,0.042759,1429.2,0.204152,within normal range · dans la plage normale
11933810B57309520880620,حمام الغزاز,1412.86,21258.7,93.8907,Nabeul,650.082,0.0900811,762.773,1.99274,within normal range · dans la plage normale
11933810B56579355102022,تاكلسة,1191.12,24792,277.349,Nabeul,672.412,0.065592,518.704,1.06715,within normal range · dans la plage normale
11933810B71477976393658,منزل الحبيب,490.343,10011.3,948.919,Gabès,671.339,-0.0343056,-180.997,-2.70858,significant loss · baisse significative
11933810B10318624738248,الحامة,2432.76,81013.5,2631.77,Gabès,2843.15,-0.0171716,-410.392,-2.06098,within normal range · dans la plage normale
11933810B21643194978673,مطماطة,1240.43,3990.87,1239.47,Gabès,1596.94,-0.0276799,-356.511,-2.45815,within normal range · dans la plage normale
11933810B54928628318578,منزل بوزلفة,1096.87,38775,133.8,Nabeul,780.835,0.038483,316.031,0.0425344,within normal range · dans la plage normale
11933810B10041539297974,نصر الله,1556.18,32159.4,681.797,Kairouan,1101.31,0.0391625,454.872,0.0682172,within normal range · dans la plage normale
11933810B17792419290785,قليبية,1760.49,58820.4,125.54,Nabeul,1434.78,0.0229914,325.708,-0.542984,within normal range · dans la plage normale
11933810B54717657919008,كسرى,544.569,15962.6,432.479,Siliana,515.356,0.00614504,29.2127,-1.17971,within normal range · dans la plage normale
11933810B45961681846987,منزل تميم,2170.92,69342.6,262.056,Nabeul,1565.12,0.0370229,605.795,-0.0126509,within normal range · dans la plage normale
